StartTime,EndTime,Price,NewPrice
01/01/2022 00:00, 01/01/2022 01:00,46.6,
01/01/2022 01:00, 01/01/2022 02:00,41.33,
01/01/2022 02:00, 01/01/2022 03:00,42.18,
01/01/2022 03:00, 01/01/2022 04:00,44.37,
01/01/2022 04:00, 01/01/2022 05:00,37.67,
01/01/2022 05:00, 01/01/2022 06:00,39.7,
01/01/2022 06:00, 01/01/2022 07:00,40.59,
01/01/2022 07:00, 01/01/2022 08:00,43.26,
01/01/2022 08:00, 01/01/2022 09:00,49.66,
01/01/2022 09:00, 01/01/2022 10:00,70.05,
01/01/2022 10:00, 01/01/2022 11:00,76.79,
01/01/2022 11:00, 01/01/2022 12:00,84.1,
01/01/2022 12:00, 01/01/2022 13:00,94.74,
01/01/2022 13:00, 01/01/2022 14:00,96.8,
01/01/2022 14:00, 01/01/2022 15:00,97.17,
01/01/2022 15:00, 01/01/2022 16:00,101.27,
01/01/2022 16:00, 01/01/2022 17:00,126.6,
01/01/2022 17:00, 01/01/2022 18:00,149.97,
01/01/2022 18:00, 01/01/2022 19:00,146.33,
01/01/2022 19:00, 01/01/2022 20:00,140.28,
01/01/2022 20:00, 01/01/2022 21:00,121.88,
01/01/2022 21:00, 01/01/2022 22:00,102.61,
01/01/2022 22:00, 01/01/2022 23:00,95.12,
01/01/2022 23:00, 02/01/2022 00:00,83.11,
02/01/2022 00:00, 02/01/2022 01:00,34.73,
02/01/2022 01:00, 02/01/2022 02:00,34.39,
02/01/2022 02:00, 02/01/2022 03:00,34.36,
02/01/2022 03:00, 02/01/2022 04:00,34.1,
02/01/2022 04:00, 02/01/2022 05:00,29.56,
02/01/2022 05:00, 02/01/2022 06:00,33.97,
02/01/2022 06:00, 02/01/2022 07:00,34.52,
02/01/2022 07:00, 02/01/2022 08:00,41.8,
02/01/2022 08:00, 02/01/2022 09:00,48.95,
02/01/2022 09:00, 02/01/2022 10:00,60.01,
02/01/2022 10:00, 02/01/2022 11:00,70.09,
02/01/2022 11:00, 02/01/2022 12:00,66.26,
02/01/2022 12:00, 02/01/2022 13:00,64.54,
02/01/2022 13:00, 02/01/2022 14:00,46.96,
02/01/2022 14:00, 02/01/2022 15:00,49.06,
02/01/2022 15:00, 02/01/2022 16:00,74.99,
02/01/2022 16:00, 02/01/2022 17:00,88.15,
02/01/2022 17:00, 02/01/2022 18:00,95.4,
02/01/2022 18:00, 02/01/2022 19:00,86.71,
02/01/2022 19:00, 02/01/2022 20:00,71.27,
02/01/2022 20:00, 02/01/2022 21:00,54.12,
02/01/2022 21:00, 02/01/2022 22:00,46.16,
02/01/2022 22:00, 02/01/2022 23:00,46.29,
02/01/2022 23:00, 03/01/2022 00:00,32.93,
03/01/2022 00:00, 03/01/2022 01:00,20.89,
03/01/2022 01:00, 03/01/2022 02:00,19.92,
03/01/2022 02:00, 03/01/2022 03:00,19.87,
03/01/2022 03:00, 03/01/2022 04:00,19.82,
03/01/2022 04:00, 03/01/2022 05:00,20.26,
03/01/2022 05:00, 03/01/2022 06:00,29.35,
03/01/2022 06:00, 03/01/2022 07:00,37.55,
03/01/2022 07:00, 03/01/2022 08:00,88.76,
03/01/2022 08:00, 03/01/2022 09:00,122.93,
03/01/2022 09:00, 03/01/2022 10:00,110.17,
03/01/2022 10:00, 03/01/2022 11:00,93.38,
03/01/2022 11:00, 03/01/2022 12:00,90.73,
03/01/2022 12:00, 03/01/2022 13:00,82.37,
03/01/2022 13:00, 03/01/2022 14:00,80.9,
03/01/2022 14:00, 03/01/2022 15:00,80.99,
03/01/2022 15:00, 03/01/2022 16:00,98.05,
03/01/2022 16:00, 03/01/2022 17:00,120.55,
